Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS023.1,53.05004167,-28.08512778,3h32m12.01s,-28d05m06.5s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS025.1,52.987,-27.99425833,3h31m56.88s,-27d59m39.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS029.1,53.40375,-27.96925833,3h33m36.90s,-27d58m09.3s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS031.1,52.95745833,-27.96132222,3h31m49.79s,-27d57m40.8s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS035.1,52.79379167,-27.62095,3h31m10.51s,-27d37m15.4s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS037.1,53.40058333,-27.89738333,3h33m36.14s,-27d53m50.6s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS039.1,52.937625,-27.57687222,3h31m45.03s,-27d34m36.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS041.1,52.79195833,-27.87685,3h31m10.07s,-27d52m36.7s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS043.1,53.27766667,-27.80067778,3h33m06.64s,-27d48m02.4s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.00100.S,ALESS045.1,53.10525,-27.87514722,3h32m25.26s,-27d52m30.5s,0,0,0,lsrk,RADIO,,,,,,,ALMA_RB_09,0.49,1,FALSE,FALSE,DOUBLE,682,125,1.5,TRUE,,,,,682,680,678,676,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
